"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17","UpdateUser_UserToChangeDoesNotExist_ResponseStatusCodeIsBadRequest","","Tue Aug 05 13:56:56 GMT 2025","passed","Tue Aug 05 13:56:56 GMT 2025","Update User Service","","UpdateUserServiceTests","UpdateUser_UserToChangeDoesNotExist_ResponseStatusCodeIsBadRequest"
"","14","UpdateUser_UserToChangeIsNull_ResponseStatusCodeIsBadRequest","","Tue Aug 05 13:56:56 GMT 2025","passed","Tue Aug 05 13:56:56 GMT 2025","Update User Service","","UpdateUserServiceTests","UpdateUser_UserToChangeIsNull_ResponseStatusCodeIsBadRequest"
"","22","GetUsers_FilteredByFemaleSex_FilteredUsersAreReturned","","Tue Aug 05 13:56:56 GMT 2025","passed","Tue Aug 05 13:56:56 GMT 2025","Get User Service","","GetUsersServiceTests","GetUsers_FilteredByFemaleSex_FilteredUsersAreReturned"
"","11","GetUsers_YoungerThanFilterApplied_FilteredUsersAreReturned","","Tue Aug 05 13:56:56 GMT 2025","passed","Tue Aug 05 13:56:56 GMT 2025","Get User Service","","GetUsersServiceTests","GetUsers_YoungerThanFilterApplied_FilteredUsersAreReturned"
"","15","GetUsers_FilteredByMaleSex_FilteredUsersAreReturned","","Tue Aug 05 13:56:56 GMT 2025","passed","Tue Aug 05 13:56:56 GMT 2025","Get User Service","","GetUsersServiceTests","GetUsers_FilteredByMaleSex_FilteredUsersAreReturned"
"","12","GetUsers_OlderThanFilterApplied_FilteredUsersAreReturned","","Tue Aug 05 13:56:56 GMT 2025","passed","Tue Aug 05 13:56:56 GMT 2025","Get User Service","","GetUsersServiceTests","GetUsers_OlderThanFilterApplied_FilteredUsersAreReturned"
"","15","UpdateUser_UserNewValuesAreCorrect_ResponseStatusCodeIsOK_UserIsUpdated","","Tue Aug 05 13:56:56 GMT 2025","broken","Tue Aug 05 13:56:56 GMT 2025","Update User Service","","UpdateUserServiceTests","UpdateUser_UserNewValuesAreCorrect_ResponseStatusCodeIsOK_UserIsUpdated"
"","19","UploadUsers_UserHasInvalidZipCode_ResponseStatusCodeIsFailedDependency_UsersAreNotUploaded","","Tue Aug 05 13:56:57 GMT 2025","broken","Tue Aug 05 13:56:57 GMT 2025","Upload Users Service","","UploadUsersServiceTests","UploadUsers_UserHasInvalidZipCode_ResponseStatusCodeIsFailedDependency_UsersAreNotUploaded"
"","30","CallExpandZipCodes_RequestBodyIsNull_ResponseStatusCodeIsCorrect","","Tue Aug 05 13:56:57 GMT 2025","passed","Tue Aug 05 13:56:57 GMT 2025","Zip Code Service","","ZipCodeServiceTests","CallExpandZipCodes_RequestBodyIsNull_ResponseStatusCodeIsCorrect"
"","68","CreateUser_NameAndSexExist_ResponseStatusCodeIsBadRequest_UserIsNotAdded","","Tue Aug 05 13:56:56 GMT 2025","failed","Tue Aug 05 13:56:56 GMT 2025","Create User Service","","CreateUserServiceTests","CreateUser_NameAndSexExist_ResponseStatusCodeIsBadRequest_UserIsNotAdded"
